City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,1666735447,-33.65,115.3333,54.1,90,75,4.85
1,Mackay,AU,1666735548,-21.15,149.2,84.69,63,33,0.87
2,Ucluelet,CA,1666735548,48.9329,-125.5528,48.09,92,100,8.14
3,Kapaa,US,1666735548,22.0752,-159.319,87.78,71,20,17.27
4,Provideniya,RU,1666735549,64.3833,-173.3,28.51,64,100,15.99
5,Nelson,NZ,1666735256,-41.2833,173.2833,55.35,69,45,3.91
6,Mataura,NZ,1666735419,-46.1927,168.8643,53.47,60,100,4.14
7,Buraidah,SA,1666735549,26.326,43.975,75.0,16,2,9.53
8,Ushuaia,AR,1666735448,-54.8,-68.3,42.15,73,100,10.63
9,Butembo,CD,1666735549,0.15,29.2833,57.61,93,98,2.53
10,Hithadhoo,MV,1666735550,-0.6,73.0833,82.18,72,44,12.26
11,Longyearbyen,SJ,1666735550,78.2186,15.6401,13.84,73,20,5.75
12,Saint George,US,1666735550,37.1041,-113.5841,67.42,23,0,3.0
13,Chokurdakh,RU,1666735551,70.6333,147.9167,7.07,96,100,2.64
14,Punta Arenas,CL,1666735551,-53.15,-70.9167,48.31,71,75,19.57
15,Saint Paul Harbor,US,1666735551,57.79,-152.4072,44.11,81,75,3.44
16,Grand Bank,CA,1666735552,47.0999,-55.765,53.6,89,5,9.66
17,Batagay-Alyta,RU,1666735552,67.8006,130.4114,14.25,71,100,6.91
18,Cervo,ES,1666735552,43.6702,-7.4101,66.96,71,53,7.81
19,Katsuura,JP,1666735553,35.1333,140.3,56.1,74,88,25.95
20,Homer,US,1666735553,59.6425,-151.5483,38.77,88,100,11.99
21,Saskylakh,RU,1666735553,71.9167,114.0833,-6.14,100,70,3.96
22,Chino,US,1666734983,34.0122,-117.6889,82.98,25,0,5.99
23,Rikitea,PF,1666735223,-23.1203,-134.9692,73.2,74,55,17.78
24,Tuktoyaktuk,CA,1666735554,69.4541,-133.0374,11.55,93,61,6.51
25,Llallagua,BO,1666735554,-18.4167,-66.6333,58.44,19,35,1.41
26,Kalas,IN,1666735555,18.1667,74.8,67.03,64,0,4.9
27,Charters Towers,AU,1666735555,-20.1,146.2667,83.93,56,38,6.4
28,Tokur,RU,1666735555,53.1333,132.9,26.44,97,100,2.86
29,Vaini,TO,1666735555,-21.2,-175.2,75.36,73,75,5.75
30,Albany,US,1666735530,42.6001,-73.9662,68.54,88,96,1.01
31,Port Alfred,ZA,1666735556,-33.5906,26.891,61.18,87,99,5.01
32,Marzuq,YE,1666735556,14.4,46.4667,66.25,60,6,2.86
33,Lebu,CL,1666735556,-37.6167,-73.65,56.17,87,83,11.97
34,Usinsk,RU,1666735557,65.9939,57.5281,21.09,94,87,7.92
35,Puerto Ayora,EC,1666735557,-0.7393,-90.3518,75.16,88,81,5.99
36,Saint-Ambroise,CA,1666735557,48.5501,-71.3324,59.58,86,100,4.07
37,Rawson,AR,1666735558,-43.3002,-65.1023,60.21,47,100,16.13
38,Norman Wells,CA,1666735558,65.282,-126.8329,18.41,79,85,0.78
39,Tezu,IN,1666735558,27.9167,96.1667,68.45,98,100,1.99
40,Saint-Joseph,RE,1666735559,-21.3667,55.6167,68.38,76,20,10.11
41,Edéia,BR,1666735559,-17.3383,-49.9314,87.17,27,50,3.89
42,Kavaratti,IN,1666735559,10.5669,72.642,81.9,61,95,7.96
43,Carnarvon,AU,1666735560,-24.8667,113.6333,63.23,68,0,22.73
44,Hilo,US,1666735518,19.7297,-155.09,82.13,68,75,11.5
45,Bredasdorp,ZA,1666735560,-34.5322,20.0403,60.78,74,100,7.63
46,Tasiilaq,GL,1666735560,65.6145,-37.6368,32.16,96,100,4.18
47,Udachny,RU,1666735561,66.4167,112.4,5.72,96,28,6.8
48,Menongue,AO,1666735561,-14.6585,17.691,64.81,87,96,2.91
49,Carutapera,BR,1666735562,-1.195,-46.02,79.59,76,80,9.15
50,Kolokani,ML,1666735562,13.5728,-8.0339,81.52,30,15,4.32
51,Tura,IN,1666735562,25.5198,90.2201,64.67,96,51,2.57
52,Hong Kong,HK,1666735563,22.2855,114.1577,73.38,72,99,11.01
