City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Albany,US,1666741108,42.6001,-73.9662,67.39,88,83,4.54
1,Qaqortoq,GL,1666741109,60.7167,-46.0333,28.27,71,0,6.71
2,Busselton,AU,1666741110,-33.65,115.3333,57.24,79,82,8.77
3,Kiruna,SE,1666741110,67.8557,20.2251,23.47,90,97,2.64
4,Souillac,MU,1666741110,-20.5167,57.5167,71.98,83,40,9.22
5,Kapaa,US,1666741111,22.0752,-159.319,84.52,72,0,17.27
6,Suleja,NG,1666741111,9.1758,7.1808,74.39,93,93,1.83
7,Qaanaaq,GL,1666741111,77.484,-69.3632,21.33,97,100,2.68
8,Talnakh,RU,1666741112,69.4865,88.3972,6.58,96,95,2.59
9,Carnarvon,AU,1666741112,-24.8667,113.6333,64.47,59,0,21.85
10,Cape Town,ZA,1666741112,-33.9258,18.4232,63.12,75,0,16.11
11,Tiksi,RU,1666740987,71.6872,128.8694,18.41,91,100,12.88
12,Okara,PK,1666741113,30.8081,73.4458,67.96,31,0,6.42
13,Ambanja,MG,1666741113,-13.6833,48.45,74.07,85,79,0.94
14,Podosinovets,RU,1666741113,60.2776,47.0659,27.84,96,13,3.83
15,Avarua,CK,1666741114,-21.2078,-159.775,78.85,53,75,8.05
16,Hobart,AU,1666741114,-42.8794,147.3294,57.06,97,75,17.27
17,Barrow,US,1666741115,71.2906,-156.7887,19.42,93,100,21.85
18,Vallenar,CL,1666741115,-28.5708,-70.7581,58.69,61,3,2.46
19,Mahébourg,MU,1666741115,-20.4081,57.7,72.25,83,40,9.22
20,Thompson,CA,1666741116,55.7435,-97.8558,26.76,93,100,9.22
21,Rønne,DK,1666741116,55.1009,14.7066,55.31,94,75,14.97
22,Nemuro,JP,1666741116,43.3236,145.575,47.32,54,14,6.67
23,Ushuaia,AR,1666741117,-54.8,-68.3,49.66,46,75,8.05
24,Olafsvik,IS,1666741117,64.8945,-23.7142,42.08,82,100,21.52
25,Uauá,BR,1666741117,-9.8414,-39.4817,77.88,66,95,13.49
26,Hermanus,ZA,1666741118,-34.4187,19.2345,59.81,77,100,12.82
27,Wagar,SD,1666741118,16.1525,36.2032,82.92,58,68,10.49
28,Plettenberg Bay,ZA,1666741118,-34.0527,23.3716,59.43,81,95,2.17
29,Chui,UY,1666741119,-33.6971,-53.4616,59.04,85,9,10.4
30,Port Alfred,ZA,1666741119,-33.5906,26.891,60.19,91,97,3.0
31,Hong Kong,HK,1666741119,22.2855,114.1577,75.25,71,96,10.0
32,New Norfolk,AU,1666741120,-42.7826,147.0587,56.7,84,100,3.0
33,Mataura,NZ,1666741120,-46.1927,168.8643,53.47,77,100,5.48
34,Hilo,US,1666741120,19.7297,-155.09,82.26,79,100,8.05
35,Riyadh,SA,1666740959,24.6877,46.7219,71.74,19,1,5.5
36,Punta Arenas,CL,1666741121,-53.15,-70.9167,48.31,66,100,14.97
37,Dikson,RU,1666741121,73.5069,80.5464,23.23,84,99,0.67
38,Havelock,US,1666741121,34.8791,-76.9013,64.0,92,100,4.61
39,Leshukonskoye,RU,1666741122,64.8989,45.7622,29.05,95,22,5.1
40,Hithadhoo,MV,1666741122,-0.6,73.0833,82.44,72,32,11.61
41,Yellowknife,CA,1666741122,62.456,-114.3525,23.56,80,75,11.5
42,Nikolskoye,RU,1666741123,59.7035,30.7861,35.49,94,100,7.2
43,Codrington,AU,1666741123,-38.2667,141.9667,59.13,94,100,11.88
44,Grand-Santi,GF,1666741124,4.25,-54.3833,74.59,94,93,3.06
45,Atuona,PF,1666741124,-9.8,-139.0333,77.31,69,2,17.52
46,Tuktoyaktuk,CA,1666741124,69.4541,-133.0374,10.4,92,40,8.05
47,Buchanan,LR,1666741125,5.8808,-10.0467,77.43,89,70,4.36
48,Airai,TL,1666740923,-8.9266,125.4092,69.33,69,100,0.18
49,Coquimbo,CL,1666741125,-29.9533,-71.3436,58.73,67,40,4.61
50,Rikitea,PF,1666740899,-23.1203,-134.9692,73.42,74,62,16.28
51,Khatanga,RU,1666741125,71.9667,102.5,0.16,99,86,5.97
52,Srednekolymsk,RU,1666741126,67.45,153.6833,11.48,94,100,10.58
53,Laguna,US,1666741126,38.421,-121.4238,75.18,34,0,6.91
54,Sitka,US,1666741126,57.0531,-135.33,46.29,66,100,4.61
55,Port Elizabeth,ZA,1666741127,-33.918,25.5701,62.89,82,75,16.11
56,Hanko,FI,1666741127,59.8333,22.95,51.06,94,98,14.07
57,Cherskiy,RU,1666741127,68.75,161.3,-1.66,90,61,6.29
58,Geraldton,AU,1666741128,-28.7667,114.6,59.41,77,3,1.14
59,San Quintín,MX,1666741128,30.4833,-115.95,69.15,42,0,10.6
60,Rockingham,US,1666740841,42.9668,-71.0995,65.41,91,91,3.89
61,Haikou,CN,1666741129,20.0458,110.3417,73.53,94,40,4.47
62,Ilulissat,GL,1666741129,69.2167,-51.1,26.62,93,100,4.61
63,Chapais,CA,1666741130,49.7834,-74.8492,60.58,82,97,12.71
64,Puerto Ayora,EC,1666741130,-0.7393,-90.3518,67.55,93,82,4.0
65,Mariehamn,AX,1666741130,60.0973,19.9348,51.66,100,100,4.61
66,Camacha,PT,1666741131,33.0833,-16.3333,67.42,88,20,13.8
67,Aklavik,CA,1666741131,68.2191,-135.0107,14.0,85,100,4.61
68,Quiindy,PY,1666741131,-25.9667,-57.2667,73.49,74,0,6.04
69,Luau,AO,1666741131,-10.7073,22.2247,66.11,81,67,2.82
70,Mar del Plata,AR,1666741089,-38.0023,-57.5575,67.08,85,0,7.0
71,Hope,US,1666740873,33.6671,-93.5916,64.45,50,39,5.46
72,Tazovsky,RU,1666741132,67.4667,78.7,15.6,90,77,12.68
73,Lavrentiya,RU,1666741132,65.5833,-171.0,27.48,75,89,12.33
74,Bluff,NZ,1666741133,-46.6,168.3333,53.8,90,100,15.55
75,Vaini,TO,1666741133,-21.2,-175.2,71.76,83,75,6.91
76,Vila Franca do Campo,PT,1666741133,37.7167,-25.4333,63.01,68,100,11.99
77,Kouroussa,GN,1666741134,10.65,-9.8833,74.08,69,30,2.84
78,Lompoc,US,1666741134,34.6391,-120.4579,77.02,67,0,25.32
79,Leningradskiy,RU,1666741134,69.3833,178.4167,4.39,86,45,4.85
80,Bethel,US,1666741048,41.3712,-73.414,68.09,86,100,3.44
81,Okhotsk,RU,1666741135,59.3833,143.3,24.46,58,24,8.3
82,Peterhead,GB,1666741135,57.5058,-1.7981,54.0,89,100,15.59
83,Masterton,NZ,1666741135,-40.9597,175.6575,60.89,60,44,12.55
84,Rāpar,IN,1666741136,23.5667,70.6333,75.25,65,0,7.2
85,Esperance,AU,1666741136,-33.8667,121.9,61.27,66,16,10.16
86,Tasiilaq,GL,1666741136,65.6145,-37.6368,32.16,97,100,3.51
87,Sept-Îles,CA,1666740847,50.2001,-66.3821,48.72,94,100,2.3
88,Longyearbyen,SJ,1666741137,78.2186,15.6401,15.64,67,20,9.22
89,Ancud,CL,1666741137,-41.8697,-73.8203,52.36,96,90,18.92
90,Faanui,PF,1666741138,-16.4833,-151.75,79.63,76,100,24.05
91,Cabo San Lucas,MX,1666741138,22.8909,-109.9124,83.5,50,0,10.36
92,Šurany,SK,1666741138,48.0861,18.1845,54.95,94,4,0.51
93,Kiama,AU,1666741036,-34.6833,150.8667,78.26,70,52,1.99
94,Karratha,AU,1666741139,-20.7377,116.8463,82.4,18,0,18.03
95,Murgab,TM,1666741139,37.4966,61.9714,53.47,87,1,4.61
96,Coahuayana Viejo,MX,1666741139,18.7333,-103.6833,80.15,85,71,3.56
97,Mayo,US,1666741140,38.8876,-76.5119,62.13,94,100,0.0
98,Rosarito,MX,1666741140,32.3333,-117.0333,77.23,52,0,8.23
99,Kuito,AO,1666741140,-12.3833,16.9333,62.38,86,98,5.48
100,Ust'-Karsk,RU,1666741141,52.7011,118.8077,25.12,60,1,1.63
101,Burnie,AU,1666741141,-41.0667,145.9167,56.14,92,100,7.78
102,Kiunga,PG,1666741142,-6.1219,141.2906,75.33,97,100,0.89
103,Shimoda,JP,1666741142,34.6667,138.95,59.36,57,80,20.98
104,Egvekinot,RU,1666741143,66.3167,-179.1667,9.66,81,34,4.5
105,Carutapera,BR,1666741143,-1.195,-46.02,79.93,75,77,9.15
106,Sabzawār,IR,1666741144,36.2126,57.6819,51.08,66,40,0.0
107,Puławy,PL,1666741144,51.4166,21.9694,53.19,94,30,3.0
108,Atar,MR,1666741145,20.5169,-13.0499,87.03,12,99,5.3
109,Kahului,US,1666741145,20.8947,-156.47,89.62,62,20,24.16
110,Sabang,ID,1666741145,5.8933,95.3214,80.78,79,95,9.78
111,Itaíba,BR,1666741146,-8.9475,-37.4228,75.43,75,98,8.37
112,Yanji,CN,1666741146,42.9075,129.5078,43.07,59,19,1.54
113,Abū Zabad,SD,1666741146,12.35,29.25,74.77,25,28,12.1
114,Dubbo,AU,1666741147,-32.25,148.6167,69.93,64,40,11.5
115,Iqaluit,CA,1666741147,63.7506,-68.5145,24.53,85,100,19.57
116,Sinnamary,GF,1666741147,5.3833,-52.95,80.15,81,92,9.1
117,Chara,RU,1666741148,56.9064,118.2631,18.05,68,27,3.47
118,Dutlwe,BW,1666741148,-23.9833,23.9,74.59,28,80,9.48
119,Hasaki,JP,1666741149,35.7333,140.8333,55.8,65,100,29.51
120,Bonavista,CA,1666741149,48.6499,-53.1147,51.62,84,4,7.72
121,Kavieng,PG,1666741149,-2.5744,150.7967,83.98,73,100,5.77
122,Gaza,PS,1666740972,31.5,34.4667,75.88,61,0,6.76
123,Kholodnyy,RU,1666741150,62.7167,147.95,-0.26,89,31,5.39
124,Novosokol'niki,RU,1666741150,56.3463,30.1578,45.52,96,100,6.91
125,Wyndham,US,1666741150,37.6985,-77.6125,62.28,85,100,0.0
126,Bredasdorp,ZA,1666740856,-34.5322,20.0403,60.93,73,100,8.79
127,Buala,SB,1666741151,-8.145,159.5921,84.27,73,46,4.85
128,Acaraú,BR,1666741151,-2.8856,-40.12,78.71,80,95,15.66
129,Gisborne,NZ,1666741152,-38.6533,178.0042,63.48,56,26,9.62
130,Nālūt,LY,1666741152,30.3333,10.85,68.0,28,0,8.16
131,George Town,MY,1666741153,5.4112,100.3354,78.24,94,20,3.44
132,Jamestown,US,1666741146,42.097,-79.2353,62.06,58,100,4.0
133,Takoradze,GH,1666741153,4.8845,-1.7554,77.68,87,78,5.17
134,Conceição do Araguaia,BR,1666741153,-8.2578,-49.2647,73.42,97,100,2.1
135,Mocuba,MZ,1666741154,-16.8392,36.9856,72.79,74,27,1.05
136,Soyo,AO,1666741154,-6.1349,12.3689,76.69,93,61,6.8
137,Novy Urengoy,RU,1666741155,66.0833,76.6333,18.99,91,100,14.92
138,Mulanje,MW,1666741155,-16.0316,35.5,77.52,43,50,4.74
139,Qingdao,CN,1666741155,36.0986,120.3719,56.8,82,0,6.71
